Area,Population,PopulationDensity,ExistingParks,OpenLand,RoadAccess,Schools,GreenCover,Suitability,EstimatedLandCost_CrorePerAcre,PollutionPercent,OxygenPercent,Latitude,Longitude,CityArea_km2,AQI,ParkDemandScore
Mumbai,12442373,20634.1,22,180,9,9,36.48,0,4.0,10.4,20.95,19.07283,72.88261,603.0,52,56.6
Delhi,11034555,7435.7,28,260,8,12,20.0,0,6.0,27.0,20.95,28.65381,77.22897,1484.0,135,40.9
Bengaluru,8443675,3845.0,24,160,8,10,2.09,0,8.0,12.4,20.95,12.97194,77.59369,2196.0,62,31.9
Hyderabad,6731790,10356.6,18,120,7,7,1.66,0,5.0,12.0,20.95,17.38405,78.45636,650.0,60,40.5
Ahmedabad,5577940,12021.4,20,110,8,7,17.0,0,4.5,13.6,20.95,23.02579,72.58727,464.0,68,44.4
Chennai,4646732,3908.1,20,140,8,8,15.0,0,6.0,17.8,20.95,13.08784,80.27847,1189.0,89,33.3
Kolkata,4496694,3258.5,22,130,7,7,7.3,0,4.0,19.0,20.95,22.56263,88.36304,1380.0,95,31.6
Surat,4467797,13683.9,20,105,8,7,11.84,0,5.0,17.0,20.95,21.19594,72.83023,326.5,85,47.8
Pune,3124458,9439.5,18,90,8,6,16.0,0,5.0,10.6,20.95,18.51957,73.85535,331.0,53,39.8
Jaipur,3046163,6522.8,16,80,7,6,5.43,0,6.5,17.2,20.95,26.91962,75.78781,467.0,86,36.1
